batch, total_loss, avg_loss, learning_rate, time, images
1, 1356.074829, 1356.074829, 0.000000, 12.144755, 32 
2, 1359.673584, 1356.434692, 0.000000, 10.909788, 64 
3, 1361.712158, 1356.962402, 0.000000, 10.996301, 96 
4, 1361.170898, 1357.383301, 0.000000, 10.924717, 128 
5, 1362.055176, 1357.850464, 0.000000, 11.062466, 160 
6, 1363.039062, 1358.369385, 0.000000, 11.031064, 192 
7, 1360.385376, 1358.571045, 0.000000, 11.055353, 224 
8, 1363.018555, 1359.015747, 0.000000, 11.108869, 256 
9, 1362.439087, 1359.358032, 0.000000, 11.182121, 288 
10, 1362.395020, 1359.661743, 0.000000, 11.083633, 320 
11, 1061.134399, 1329.808960, 0.000000, 8.902507, 352 
12, 1065.057007, 1303.333740, 0.000000, 9.118275, 384 
13, 1063.894531, 1279.389771, 0.000000, 9.108961, 416 
14, 1060.647705, 1257.515625, 0.000000, 9.173399, 448 
15, 1061.335083, 1237.897583, 0.000000, 9.150777, 480 
16, 1070.342285, 1221.142090, 0.000000, 9.584686, 512 
17, 1059.919434, 1205.019775, 0.000000, 9.152762, 544 
18, 1064.509521, 1190.968750, 0.000000, 9.187040, 576 
19, 1066.104248, 1178.482300, 0.000000, 9.166277, 608 
20, 1062.672974, 1166.901367, 0.000000, 9.200812, 640 
21, 1694.016968, 1219.612915, 0.000000, 13.161351, 672 
22, 1698.339355, 1267.485596, 0.000000, 13.547816, 704 
23, 1696.114746, 1310.348511, 0.000000, 13.384985, 736 
24, 1698.410034, 1349.154663, 0.000000, 13.461295, 768 
25, 1692.330811, 1383.472290, 0.000000, 13.330364, 800 
26, 1697.969849, 1414.921997, 0.000000, 13.610000, 832 
27, 1701.991577, 1443.628906, 0.000000, 13.459789, 864 
28, 1697.711792, 1469.037231, 0.000000, 13.491297, 896 
29, 1695.073120, 1491.640869, 0.000000, 13.361973, 928 
30, 1690.599365, 1511.536743, 0.000000, 13.346420, 960 
31, 1521.656250, 1512.548706, 0.000000, 12.169658, 992 
32, 1524.813965, 1513.775269, 0.000000, 12.248353, 1024 
33, 1515.579956, 1513.955688, 0.000000, 12.226328, 1056 
34, 1518.390137, 1514.399170, 0.000000, 12.274067, 1088 
35, 1514.806885, 1514.439941, 0.000000, 12.220241, 1120 
36, 1514.783325, 1514.474243, 0.000000, 12.234986, 1152 
37, 1516.278320, 1514.654663, 0.000000, 12.245344, 1184 
38, 1522.803711, 1515.469604, 0.000000, 12.336265, 1216 
39, 1510.437012, 1514.966309, 0.000000, 12.284115, 1248 
40, 1510.625122, 1514.532227, 0.000000, 12.299613, 1280 
41, 1505.921021, 1513.671143, 0.000000, 12.147450, 1312 
42, 1506.222046, 1512.926270, 0.000000, 12.274338, 1344 
43, 1504.267334, 1512.060425, 0.000000, 12.243452, 1376 
44, 1500.721558, 1510.926514, 0.000000, 12.271338, 1408 
45, 1500.338989, 1509.867798, 0.000000, 12.241461, 1440 
46, 1493.986694, 1508.279663, 0.000000, 12.317670, 1472 
47, 1497.006958, 1507.152344, 0.000000, 12.379253, 1504 
48, 1491.536743, 1505.590820, 0.000000, 12.305669, 1536 
49, 1480.418579, 1503.073608, 0.000000, 12.236307, 1568 
50, 1481.911621, 1500.957397, 0.000000, 12.157968, 1600 
51, 655.980408, 1416.459717, 0.000000, 6.330451, 1632 
52, 657.260193, 1340.539795, 0.000000, 6.362122, 1664 
53, 655.862244, 1272.072021, 0.000000, 6.366742, 1696 
54, 663.048218, 1211.169678, 0.000000, 6.462291, 1728 
55, 654.304382, 1155.483154, 0.000000, 6.390688, 1760 
56, 648.264709, 1104.761353, 0.000000, 6.320634, 1792 
57, 648.033020, 1059.088501, 0.000000, 6.336597, 1824 
58, 648.272583, 1018.006897, 0.000000, 6.395108, 1856 
59, 640.679260, 980.274109, 0.000000, 6.409179, 1888 
60, 644.352722, 946.681946, 0.000000, 6.307538, 1920 
61, 1126.910767, 964.704834, 0.000000, 9.681888, 1952 
62, 1123.805298, 980.614868, 0.000000, 9.828051, 1984 
63, 1112.324341, 993.785828, 0.000000, 9.827713, 2016 
64, 1105.478882, 1004.955139, 0.000000, 9.827784, 2048 
65, 1101.831055, 1014.642700, 0.000000, 9.918945, 2080 
66, 1095.925293, 1022.770935, 0.000000, 9.881122, 2112 
67, 1083.510986, 1028.844971, 0.000000, 9.859634, 2144 
68, 1075.063843, 1033.466797, 0.000000, 9.863058, 2176 
69, 1072.898926, 1037.410034, 0.000000, 9.962968, 2208 
70, 1066.082764, 1040.277344, 0.000000, 9.898646, 2240 
71, 1327.927979, 1069.042358, 0.000000, 12.168835, 2272 
72, 1310.840820, 1093.222168, 0.000000, 12.291605, 2304 
73, 1299.877686, 1113.887695, 0.000000, 12.381544, 2336 
74, 1284.612671, 1130.960205, 0.000000, 12.360643, 2368 
75, 1265.519531, 1144.416138, 0.000000, 12.388574, 2400 
76, 1255.843628, 1155.558838, 0.000000, 12.302394, 2432 
77, 1232.051636, 1163.208130, 0.000000, 12.259082, 2464 
78, 1207.233032, 1167.610596, 0.000000, 12.238062, 2496 
79, 1198.293457, 1170.678833, 0.000000, 12.828315, 2528 
80, 1170.182739, 1170.629272, 0.000000, 12.288994, 2560 
81, 358.917664, 1089.458130, 0.000000, 4.882191, 2592 
82, 354.105072, 1015.922852, 0.000000, 4.935238, 2624 
83, 348.067627, 949.137329, 0.000000, 4.949869, 2656 
84, 340.593842, 888.282959, 0.000000, 4.886766, 2688 
85, 334.424500, 832.897095, 0.000000, 4.905834, 2720 
86, 328.728851, 782.480286, 0.000000, 4.992518, 2752 
87, 323.734283, 736.605713, 0.000000, 4.987036, 2784 
88, 319.599182, 694.905090, 0.000000, 4.918353, 2816 
89, 311.904144, 656.604980, 0.000000, 5.021693, 2848 
90, 306.251556, 621.569641, 0.000000, 4.914449, 2880 
91, 665.436951, 625.956360, 0.000000, 9.148419, 2912 
92, 659.338318, 629.294556, 0.000000, 9.126752, 2944 
93, 640.462158, 630.411316, 0.000000, 9.208695, 2976 
94, 631.151611, 630.485352, 0.000000, 9.230263, 3008 
95, 618.441101, 629.280945, 0.000000, 9.333960, 3040 
96, 603.241089, 626.676941, 0.000000, 9.225042, 3072 
97, 587.237305, 622.732971, 0.000000, 9.254311, 3104 
98, 573.373596, 617.797058, 0.000000, 9.181181, 3136 
99, 556.818604, 611.699219, 0.000000, 9.277468, 3168 
100, 546.571411, 605.186462, 0.000000, 9.175220, 3200 
101, 523.846924, 597.052490, 0.000000, 9.058974, 3232 
102, 518.283020, 589.175537, 0.000000, 9.280060, 3264 
103, 494.963928, 579.754395, 0.000000, 9.177631, 3296 
104, 481.558777, 569.934814, 0.000000, 9.183285, 3328 
105, 466.044556, 559.545776, 0.000000, 9.202307, 3360 
